,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
313781,vy0ynx2s,,Medline; PMC,Evaluation of Korean-Language COVID-19–Related Medical Information on YouTube: Cross-Sectional Infodemiology Study,10.2196/20775,PMC7425748,32730221.0,cc-by,"BACKGROUND: In South Korea, the number of coronavirus disease (COVID-19) cases has declined rapidly and much sooner than in other countries. South Korea is one of the most digitalized countries in the world, and YouTube may have served as a rapid delivery mechanism for increasing public awareness of COVID-19. Thus, the platform may have helped the South Korean public fight the spread of the disease. OBJECTIVE: The aim of this study is to compare the reliability, overall quality, title–content consistency, and content coverage of Korean-language YouTube videos on COVID-19, which have been uploaded by different sources. METHODS: A total of 200 of the most viewed YouTube videos from January 1, 2020, to April 30, 2020, were screened, searching in Korean for the terms “Coronavirus,” “COVID,” “Corona,” “Wuhan virus,” and “Wuhan pneumonia.” Non-Korean videos and videos that were duplicated, irrelevant, or livestreamed were excluded. Source and video metrics were collected. The videos were scored based on the following criteria: modified DISCERN index, Journal of the American Medical Association Score (JAMAS) benchmark criteria, global quality score (GQS), title–content consistency index (TCCI), and medical information and content index (MICI). RESULTS: Of the 105 total videos, 37.14% (39/105) contained misleading information; independent user–generated videos showed the highest proportion of misleading information at 68.09% (32/47), while all of the government-generated videos were useful. Government agency–generated videos achieved the highest median score of DISCERN (5.0, IQR 5.0-5.0), JAMAS (4.0, IQR 4.0-4.0), GQS (4.0, IQR 3.0-4.5), and TCCI (5.0, IQR 5.0-5.0), while independent user–generated videos achieved the lowest median score of DISCERN (2.0, IQR 1.0-3.0), JAMAS (2.0, IQR 1.5-2.0), GQS (2.0, IQR 1.5-2.0), and TCCI (3.0, IQR 3.0-4.0). However, the total MICI was not significantly different among sources. “Transmission and precautionary measures” were the most commonly covered content by government agencies, news agencies, and independent users. In contrast, the most mentioned content by news agencies was “prevalence,” followed by “transmission and precautionary measures.” CONCLUSIONS: Misleading videos had more likes, fewer comments, and longer running times than useful videos. Korean-language YouTube videos on COVID-19 uploaded by different sources varied significantly in terms of reliability, overall quality, and title–content consistency, but the content coverage was not significantly different. Government-generated videos had higher reliability, overall quality, and title–content consistency than independent user–generated videos.",2020-08-12,"Moon, Hana; Lee, Geon Ho",J Med Internet Res,,,,,document_parses/pmc_json/PMC7425748.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32730221/; https://doi.org/10.2196/20775,220893469.0
76174,souasv1r,,Medline,Sample Preparation for qPCR Detection of Listeria from Food.,10.1007/978-1-0716-0982-8_3,,32975764,unk,"Quantitative PCR, if performed properly, is a highly sensitive and robust tool. Nevertheless, its application to the particular case of pathogen detection from foodstuffs necessitates special requirements for reliable results. Firstly, a robust analytical chain, involving sample preparation and DNA isolation with purification, is necessary to ensure optimal performance. Secondly, for reliable quantification of Listeria monocytogenes from food, reproducible controls for all steps of the analytical chain are needed, which can give quantitative information about the performance of each individual step of the detection chain. Ideally, each individual sample should include a so-called internal sample process control (ISPC) which passes through all steps of the analytical chain and is phenotypically similar to the target organism (in this case L. monocytogenes).This chapter describes the modular and rapid (3 h) sample preparation method ""matrix lysis"" for the quantification of L. monocytogenes from food and gives detailed information regarding the application of an ISPC based on the example of the L. monocytogenes Δ-prfA/+IAC strain.",2021,"Mester, Patrick; Witte, Anna Kristina; Rossmanith, Peter",Methods in molecular biology,,,,,,https://doi.org/10.1007/978-1-0716-0982-8_3; https://www.ncbi.nlm.nih.gov/pubmed/32975764/,221917951.0
87708,96eh4wdi,,Medline,A College of Nursing's Upward Spiral During a Global Pandemic.,10.3928/01484834-20201118-04,,33253396,unk,"BACKGROUND In March 2020, COVID-19 forced institutions of higher education, faculty, staff, and students to transition to emergency remote learning. This unprecedented time provided the opportunity to reenvision the delivery of nursing education and operation of the college of nursing, using the principles of the four Cs of interorganizational partnering as a guide supported by positive organizational scholarship. METHOD The Villanova University Fitzpatrick College of Nursing designed and implemented strategies to provide seamless learning opportunities for students in undergraduate and graduate nursing programs, while providing necessary support and future planning for the upcoming academic year. RESULTS Online and virtual learning platforms integrated into curricula assisted students to meet course objectives and program outcomes. Strategies for effective communication, collegiality, and collaboration within and among the college, university, and nursing community served as mechanism for innovation. CONCLUSION Communication, cooperation, coordination, and collaboration, along with positive organizational strategizing and support contributed to a successful transition during the COVID-19 pandemic; many of the approaches implemented during the emergency transition will continue into the future.[J Nurs Educ. 2020;59(12):675-682.].",2020-12-01,"Mariani, Bette; Havens, Donna S; Metz, Sarah",The Journal of nursing education,,,,,,https://doi.org/10.3928/01484834-20201118-04; https://www.ncbi.nlm.nih.gov/pubmed/33253396/,227246858.0
276668,duqv7qur,,WHO,Pharmacological options for the treatment of chronic migraine pain,,,,unk,"Migraine is a debilitating neurological condition with symptoms typically consisting of unilateral and pulsating headache, sensitivity to sensory stimuli, nausea, and vomiting. The World Health Organization (WHO) reports that migraine is the third most prevalent medical disorder and second most disabling neurological condition in the world. There are several options for preventive migraine treatments that include, but are not limited to, anticonvulsants, antidepressants, beta blockers, calcium channel blockers, botulinum toxins, NSAIDs, riboflavin, and magnesium. Patients may also benefit from adjunct nonpharmacological options in the comprehensive prevention of migraines, such as cognitive behavior therapy, relaxation therapies, biofeedback, lifestyle guidance, and education. Preventative therapies are an essential component of the overall approach to the pharmacological treatment of migraine. Comparative studies of newer therapies are needed to help patients receive the best treatment option for chronic migraine pain.",2020,"Urits, Ivan; Gress, Kyle; Charipova, Karina; Zamarripa, Alec M; Patel, Parth M; Lassiter, Grace; Jung, Jai Won; Kaye, Alan D; Viswanath, Omar",Best Pract Res Clin Anaesthesiol,,#33004155,,,,,222144692.0
136100,bitzsj9o,,WHO,Nonprofit Assistance During the COVID-19 Pandemic,,,,unk,"From the Document: The Covid-19 [coronavirus disease 2019] pandemic has posed serious challenges to nonprofit entities Museums and performing arts centers have been required to halt their routine operations and are experiencing plummeting patronage Universities and professional organizations have had to reimagine their program delivery through online channels to engage their constituents Food banks are facing unprecedented demand and have been operating at full throttle Despite different challenges from an operational perspective, all types of nonprofits are experiencing financial stress from increased costs, reduced revenue, or both This issue brief explores the federal government's key nonprofit aid policies during the Covid-19 pandemic and discusses different approaches to help these entities financially COVID-19 (Disease);Disaster recovery",2020,"Joyce, Beebe Rice University039; s Baker Institute for Public Policy, https www bakerinstitute org",,,#740390,,,,,221614510.0
48269,ptipq5mv,,Medline,Thymus Inception: Molecular Network in the Early Stages of Thymus Organogenesis.,10.3390/ijms21165765,,32796710.0,cc-by,"The thymus generates central immune tolerance by producing self-restricted and self-tolerant T-cells as a result of interactions between the developing thymocytes and the stromal microenvironment, mainly formed by the thymic epithelial cells. The thymic epithelium derives from the endoderm of the pharyngeal pouches, embryonic structures that rely on environmental cues from the surrounding mesenchyme for its development. Here, we review the most recent advances in our understanding of the molecular mechanisms involved in early thymic organogenesis at stages preceding the expression of the transcription factor Foxn1, the early marker of thymic epithelial cells identity. Foxn1-independent developmental stages, such as the specification of the pharyngeal endoderm, patterning of the pouches, and thymus fate commitment are discussed, with a special focus on epithelial-mesenchymal interactions.",2020-08-11,"Figueiredo, Marta; Zilhão, Rita; Neves, Hélia",International journal of molecular sciences,,,,,,https://doi.org/10.3390/ijms21165765; https://www.ncbi.nlm.nih.gov/pubmed/32796710/,221470913.0
218801,rgzto9s9,,WHO,"Parametric Nasopharyngeal Swab for Sampling COVID-19 and Other Respiratory Viruses: Open Source Design, SLA 3-D Printing and UV Curing System",,,,unk,"Access to nasopharyngeal swabs for sampling remain a bottleneck in some regions for COVID-19 testing This study develops a distributed manufacturing solution using only an open source manufacturing tool chain consisting of two types of open source 3-D printing and batch UV curing, and provides a parametric fully free design of a nasopharyngeal swab The swab was designed using parametric OpenSCAD in two components (a head with engineered break point and various handles), which has several advantages: i) minimizing print time on relatively slow SLA printers, ii) enabling the use of smaller print volume open source SLA printers, iii) reducing the amount of relatively expensive UV resin, and iv) enabling production of handle on more accessible material extrusion 3-D printers A modular open source UV LED box was designed, fabricated for $45 and tested for batch curing Swabs can be fabricated for $0 06-$0 12/swab The results of the mechanical validation tests showed that the swabs could withstand greater forces than would be expected in normal clinical use The swabs were also able to absorb a significant amounts of synthetic mucus materials and passed abrasion and handling tests The results show the open source swab are promising candidates for clinical trials",2020,"Gallup, Nicole; Pringle, Adam M.; Oberloier, Shane; Tanikella, Nagendra G.; Pearce, Joshua M.",HardwareX,,#733677,,,,,221355281.0
423299,tcxrp52z,484c1091c9e931c86e7af6e16ea6213c8a6c4e5a,Medline; PMC,The Landscape of Cardiovascular Clinical Trials in the United States Initiated Before and During COVID‐19,10.1161/jaha.120.018274,PMC7726978,32713281.0,cc-by-nc,"The Coronavirus Disease 2019 (COVID-19) pandemic has taken an unprecedented toll on the American healthcare system and economy. While numerous COVID-19 clinical trials have been initiated in hopes of curtailing its impact, most pre-existing clinical trials have been forced to suspend or limit activity, which itself can have significant consequences. Missed or postponed trial-related assessments may hinder data quality, and heterogeneity in data collection both across the country and over time introduces bias. In addition, COVID-19 may lower specific event rates due to patients avoiding the healthcare system that could result in underpowered outcome analyses, or conversely, some endpoints (mortality) may be inflated.",2020-09-09,"Selvaraj, Senthil; Greene, Stephen J.; Khatana, Sameed Ahmed M.; Nathan, Ashwin S.; Solomon, Scott D.; Bhatt, Deepak L.",J Am Heart Assoc,,,,document_parses/pdf_json/484c1091c9e931c86e7af6e16ea6213c8a6c4e5a.json,document_parses/pmc_json/PMC7726978.xml.json,https://doi.org/10.1161/jaha.120.018274; https://www.ncbi.nlm.nih.gov/pubmed/32713281/,220798317.0
274498,aq5sneh8,,WHO,SARS-CoV-2 spike protein promotes IL-6 trans-signaling by activation of angiotensin II receptor signaling in epithelial cells,,,,unk,"Cytokine storm is suggested as one of the major pathological characteristics of SARS-CoV-2 infection, although the mechanism for initiation of a hyper-inflammatory response, and multi-organ damage from viral infection is poorly understood. In this virus-cell interaction study, we observed that SARS-CoV-2 infection or viral spike protein expression alone inhibited angiotensin converting enzyme-2 (ACE2) receptor protein expression. The spike protein promoted an angiotensin II type 1 receptor (AT1) mediated signaling cascade, induced the transcriptional regulatory molecules NF-&#954;B and AP-1/c-Fos via MAPK activation, and increased IL-6 release. SARS-CoV-2 infected patient sera contained elevated levels of IL-6 and soluble IL-6R. Up-regulated AT1 receptor signaling also influenced the release of extracellular soluble IL-6R by the induction of the ADAM-17 protease. Use of the AT1 receptor antagonist, Candesartan cilexetil, resulted in down-regulation of IL-6/soluble IL-6R release in spike expressing cells. Phosphorylation of STAT3 at the Tyr705 residue plays an important role as a transcriptional inducer for SOCS3 and MCP-1 expression. Further study indicated that inhibition of STAT3 Tyr705 phosphorylation in SARS-CoV-2 infected and viral spike protein expressing epithelial cells did not induce SOCS3 and MCP-1 expression. Introduction of culture supernatant from SARS-CoV-2 spike expressing cells on a model human liver endothelial cell line (TMNK-1), where transmembrane IL-6R is poorly expressed, resulted in the induction of STAT3 Tyr705 phosphorylation as well as MCP-1 expression. In conclusion, our results indicated that the presence of SARS-CoV-2 spike protein in epithelial cells promotes IL-6 trans-signaling by activation of the AT1 axis to initiate coordination of a hyper-inflammatory response.",2020,"Patra, Tapas; Meyer, Keith; Geerling, Lizzie; Isbell, T Scott; Hoft, Daniel F; Brien, James; Pinto, Amelia K; Ray, Ratna B; Ray, Ranjit",PLoS Pathog,,#962380,,,,,227949563.0
421484,e0b9d8p1,1e65cea8e5c45f95ecf6017903acee3620271757,Medline; PMC,Educational Simulation Program Based on Korean Triage and Acuity Scale,10.3390/ijerph17239018,PMC7730408,33287363.0,cc-by,"This study aimed to develop and implement an educational simulation program based on the Korean Triage and Acuity Scale (KTAS) for nurses in emergency medical centers who completed the KTAS training, and assess its effects. We examined the educational effects of the program by evaluating clinical decision-making ability, job satisfaction, and customer orientation among the participants, namely 27 nurses in the emergency center of a general hospital. Data were collected from 3 to 24 May 2017, and analyzed using SPSS 22.0. There was a significant difference in nurses’ mean scores on clinical decision-making ability, job satisfaction, and customer orientation before and after the simulation-based education. In other words, after completing the KTAS-based simulation education program, the emergency nurses showed improved clinical decision-making ability, job satisfaction, and customer orientation. Based on the results of this study, it is expected that this educational program can be effectively used for KTAS education, and it was confirmed that simulation-based education is a useful learning method for triage nurses in emergency medical centers.",2020-12-03,"Jang, Jae-Hyuk; Kim, Sang Suk; Kim, Sunghee",Int J Environ Res Public Health,,,,document_parses/pdf_json/1e65cea8e5c45f95ecf6017903acee3620271757.json,document_parses/pmc_json/PMC7730408.xml.json,https://doi.org/10.3390/ijerph17239018; https://www.ncbi.nlm.nih.gov/pubmed/33287363/,227949351.0
85922,9u6ugz10,,Medline,Gold Drugs with {Au(PPh3)}+ moiety: Advantages and Medicinal Applications.,10.1002/cmdc.202000608,,33025735,unk,"Following the success of Auranofin as an anti-arthritic drug, search for novel gold drugs has afforded a large number of [L-Au(PPh 3 )] complexes that exhibit notable salutary effects. Unlike Au(III)-containing species, these gold complexes with {Au(PPh 3 )} + moiety are stable in biological media and readily exchange L with S- and Se-containing enzymes or proteins. Such exchange leads to rapid reduction of microbial loads or induction of apoptotic cell death at malignant sites. In many cases the lipophilic {Au(PPh 3 )} + moiety delivers a desirable toxic L to the specific cellular target in addition to exhibiting its own beneficial activity. Further research and utilization of this synthon in drug design could lead to novel chemotherapeutics for treatment of drug-resistant pathogens and cancers.",2020-10-06,"Mascharak, Pradip; Stenger-Smith, Jenny",ChemMedChem,,,,,,https://doi.org/10.1002/cmdc.202000608; https://www.ncbi.nlm.nih.gov/pubmed/33025735/,222183721.0
129073,6aqbaeud,,Medline,[Human coronavirus infections: importance and diagnosis].,,,9850702.0,unk,"POORLY-KNOWN VIRUS: Coronaviruses, so named because of their sun-ray-like aspect, were discovered in the sixties. The biology of these RNA viruses is complex and poorly understood. KNOWN PATHOGENS: Coronaviruses are known pathogens in veterinary medicine, causing disease states in several domestic species. In human medicine, they can cause benign respiratory infections, but few laboratories include coronaviruses in their routine diagnostic tests. SUSPECTED PATHOGENS: There is some data in the literature suggesting coronaviruses might be implicated in more severe diseases including multiple sclerosis, necrotizing enterocolitis, and lower respiratory tract infections, particularly in infants. IMPROVING DIAGNOSTIC METHODS: Due to the lack of reliable and sensitive diagnostic techniques, it is impossible to date to correctly assess the medical impact of these ubiquitous and endemic viruses. Molecular biology techniques enabling detection of human coronavirus infections should be applied to verifying the suspected implication of these viruses in diverse disease states.",1998,"Vabret, A; Brouard, J; Petitjean, J; Eugene-Ruellan, G; Freymuth, F",Presse medicale,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/9850702/,36452658.0
364543,3qejdjv3,de41dc462ed4d3576224d669b8d5b0e9112346a6,Medline; PMC,"StopCOVID cohort: An observational study of 3,480 patients admitted to the Sechenov University hospital network in Moscow city for suspected COVID-19 infection",10.1093/cid/ciaa1535,PMC7665333,33035307.0,no-cc,"BACKGROUND: The epidemiology, clinical course, and outcomes of COVID-19 patients in the Russian population are unknown. Information on the differences between laboratory-confirmed and clinically-diagnosed COVID-19 in real-life settings is lacking. METHODS: We extracted data from the medical records of adult patients who were consecutively admitted for suspected COVID-19 infection in Moscow, between April 8 and May 28, 2020. RESULTS: Of the 4261 patients hospitalised for suspected COVID-19, outcomes were available for 3480 patients (median age 56 years (interquartile range 45-66). The commonest comorbidities were hypertension, obesity, chronic cardiac disease and diabetes. Half of the patients (n=1728) had a positive RT-PCR while 1748 were negative on RT-PCR but had clinical symptoms and characteristic CT signs suggestive of COVID-19 infection.No significant differences in frequency of symptoms, laboratory test results and risk factors for in-hospital mortality were found between those exclusively clinically diagnosed or with positive SARS-CoV-2 RT-PCR.In a multivariable logistic regression model the following were associated with in-hospital mortality; older age (per 1 year increase) odds ratio [OR] 1.05 (95% confidence interval (CI) 1.03 - 1.06); male sex (OR 1.71, 1.24 - 2.37); chronic kidney disease (OR 2.99, 1.89 – 4.64); diabetes (OR 2.1, 1.46 - 2.99); chronic cardiac disease (OR 1.78, 1.24 - 2.57) and dementia (OR 2.73, 1.34 – 5.47). CONCLUSIONS: Age, male sex, and chronic comorbidities were risk factors for in-hospital mortality. The combination of clinical features were sufficient to diagnoseCOVID-19 infection indicating that laboratory testing is not critical in real-life clinical practice.",2020-10-09,"Munblit, Daniel; Nekliudov, Nikita A; Bugaeva, Polina; Blyuss, Oleg; Kislova, Maria; Listovskaya, Ekaterina; Gamirova, Aysylu; Shikhaleva, Anastasia; Belyaev, Vladimir; Timashev, Petr; Warner, John O; Comberiati, Pasquale; Apfelbacher, Christian; Bezrukov, Evgenii; Politov, Mikhail E; Yavorovskiy, Andrey; Bulanova, Ekaterina; Tsareva, Natalya; Avdeev, Sergey; Kapustina, Valentina A; Pigolkin, Yuri I; Dankwa, Emmanuelle A; Kartsonaki, Christiana; Pritchard, Mark G; Victor, Fomin; Svistunov, Andrey A; Butnaru, Denis; Glybochko, Petr",Clin Infect Dis,,,,document_parses/pdf_json/de41dc462ed4d3576224d669b8d5b0e9112346a6.json,,https://doi.org/10.1093/cid/ciaa1535; https://www.ncbi.nlm.nih.gov/pubmed/33035307/,222257397.0
256299,fru80dmu,,WHO,The importance of early use of beta blockers and gastric decontamination in caffeine overdose: A case report,,,,unk,"Caffeine is a common stimulant consumed daily worldwide and available in a wide variety of over-the-counter formulations. It is a mild central nervous system stimulant when used in recommended doses. However, it can be fatal if taken as an intentional or accidental overdose. We report a case of a 48-year-old lady with depression and post-traumatic stress disorder who consumed a significant overdose of caffeine, triggered by the stress that she had contracted coronavirus disease 19. This led to significant cardiovascular and central nervous system toxicity. The condition was identified early and managed appropriately with early ß-blockers and gastric decontamination, which saved her life. There are few studies with regard to such modalities on treatment for caffeine overdose; our patient responded rapidly and favourably to the treatment. Why should an emergency physician be aware of this? Caffeine overdose is uncommon but one that clinicians should be aware of. Early identification and intervention with ß-adrenergic antagonists and activated charcoal is paramount in caffeine toxicity.",2020,"Ajjampur, Kishan; Subramaniam, Ashwin",Aust. crit. care,,#893603,,,,,226232431.0
122705,nwy60ub5,,Medline,Performance analysis of a medical decision algorithm to mitigate spread of SARS due to interfacility patient transfers.,,,16801285.0,unk,"OBJECTIVE To determine performance of a medical decision algorithm to mitigate spread of severe acute respiratory syndrome (SARS) from interfacility patient transfers during the Toronto SARS outbreak. METHODS Records from the Provincial Transfer Authorization Centre and Toronto Public Health from April 1 to July 31, 2003, were linked using probabilistic methods. Authorization decision (transfer authorized or denied) and SARS status (probable case, suspect case, or patient under investigation for SARS; or non-SARS case) were obtained for linked records. Primary outcome was the number of patients where correct authorization decisions were made based on SARS status at the time of request. Secondary outcome was the number for whom, in retrospect, authorization decision was correct knowing final SARS status. Algorithm sensitivity, specificity, and predictive values were determined. RESULTS There were 14,571 requests for transfer and 2,132 patients investigated for SARS during the study period. The algorithm authorized 14,551 and did not authorize 20 requests. Sensitivity and specificity to make appropriate authorization decisions at the time of request were 100% (95% confidence interval [CI], 77.2%-100%) and 99.95% (95% CI, 99.9-100%), respectively. Positive and negative predictive values were 65% (95% CI, 44.1%-85.9%) and 100% (95% CI, 98.4%-100%), respectively. Sensitivity and specificity, in retrospect, within ten days of the transfer request were 100% (95% CI, 80.6%-100%) and 99.97% (95% CI, 99.9%-100%), respectively. Positive and negative predictive values were 80% (95% CI, 62.5%-97.5%) and 100% (95% CI, 98.4%-100%), respectively. Seven of the 20 patients with nonauthorized requests were not known to have SARS at the time of request. Within ten days, three of seven were under investigation for, a suspect case of, or a probable case of SARS. CONCLUSIONS The medical decision algorithm was highly sensitive and specific in correctly authorizing transfers. Despite its highly sensitive and specific algorithm, it did incorrectly deny authorization to a very small number of patients without SARS.",2006,"MacDonald, Russell D; Henry, Bonnie; Stuart, Rebecca",Prehospital emergency care : official journal of the National Association of EMS Physicians and the National Association of State EMS Directors,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/16801285/,39602804.0
432135,9eh8achd,8e0150170f37be28a15b419f271e0784f1d3132b,Medline; PMC,Order in Disorder as Observed by the “Hydrophobic Cluster Analysis” of Protein Sequences,10.1002/pmic.201800054,PMC7168002,30299594.0,no-cc,"Hydrophobic cluster analysis (HCA) is an original approach for protein sequence analysis, which provides access to the foldable repertoire of the protein universe, including yet unannotated protein segments (“dark proteome”). Foldable segments correspond to ordered regions, as well as to intrinsically disordered regions (IDRs) undergoing disorder to order transitions. In this review, how HCA can be used to give insight into this last category of foldable segments is illustrated, with examples matching known 3D structures. After reviewing the HCA principles, examples of short foldable segments are given, which often contain short linear motifs, typically matching hydrophobic clusters. These segments become ordered upon contact with partners, with secondary structure preferences generally corresponding to those observed in the 3D structures within the complexes. Such small foldable segments are sometimes larger than the segments of known 3D structures, including flanking hydrophobic clusters that may be critical for interaction specificity or regulation, as well as intervening sequences allowing fuzziness. Cases of larger conditionally disordered domains are also presented, with lower density in hydrophobic clusters than well‐folded globular domains or with exposed hydrophobic patches, which are stabilized by interaction with partners.",2018-10-30,"Bitard‐Feildel, Tristan; Lamiable, Alexis; Mornon, Jean‐Paul; Callebaut, Isabelle",Proteomics,,,,document_parses/pdf_json/8e0150170f37be28a15b419f271e0784f1d3132b.json,document_parses/pmc_json/PMC7168002.xml.json,https://doi.org/10.1002/pmic.201800054; https://www.ncbi.nlm.nih.gov/pubmed/30299594/,52941959.0
83948,yih41m58,,Medline,A modified all-inside arthroscopic remnant-preserving technique of lateral ankle ligament reconstruction: medium-term clinical and radiologic results comparable with open reconstruction.,10.1007/s00264-020-04773-w,,32803356,unk,"BACKGROUND The aim of this study was to compare clinical and radiologic outcomes of a modified all-inside arthroscopic remnant-preserving technique of lateral ankle ligament reconstruction with traditional open reconstruction. METHODS From January 2012 and March 2016, 60 eligible patients with chronic lateral ankle instability (CLAI) received all arthroscopic remnant-preserving reconstruction or open reconstruction of the anterior talofibular ligament and calcaneofibular ligament using semitendinosus autograft. They were divided into the arthroscopic group (n = 28) and the open group (n = 32). The American Orthopaedic Foot and Ankle Society (AOFAS),visual analog scale (VAS), and Karlsson scores and ankle range of motion (ROM) were used to evaluate clinical outcomes pre-operatively and at six and 12 months and the final follow-up of at least 24 months post-operatively, with SF-36 physical component summary (PCS) and mental component summary (MCS) scores evaluated for quality of life, and the anterior talar translation and talar tilt measurements for radiologic outcomes. RESULTS There was no difference in pre-operative demographics between two groups (P > 0.05). At the final follow-up, the AOFAS, VAS, Karlsson, SF-36 PCS, and MCS scores improved significantly in both groups (P < 0.05). However, no significant difference was found in AOFAS (91.9 ± 6.8 vs 91.1 ± 5.5), VAS (2.7 ± 1.7 vs 2.5 ± 1.6), Karlsson (95.3 ± 6.7 vs 94.8 ± 6.5), SF-36 PCS (53.2 ± 6.1 vs 52.9 ± 5.7), and MCS scores (55.7 ± 5.8 vs 54.2 ± 5.4) between the two groups (P > 0.05). There was no significant difference in post-operative operated/non-operated ankle ROM between two groups (P > 0.05). No significant difference was observed in talar tilt angle (7.6 ± 4.1° vs 6.8 ± 3.6°) and anterior talar translation (5.8 ± 1.7 mm vs 5.7 ± 1.5 mm) between the two groups at the final follow-up (P > 0.05), although these two variables improved significantly in both groups (P < 0.05). No severe complications were encountered in both groups during the follow-up period. CONCLUSIONS The modified all-inside arthroscopic remnant-preserving technique of lateral ankle ligament reconstruction could produce excellent clinical and radiologic outcomes comparable with open reconstruction.",2020-08-15,"Zhang, Kaibin; Khan, Abdul Aleem; Dai, Hanhao; Li, Yang; Tao, Tianqi; Jiang, Yiqiu; Gui, Jianchao",International orthopaedics,,,,,,https://doi.org/10.1007/s00264-020-04773-w; https://www.ncbi.nlm.nih.gov/pubmed/32803356/,221129879.0
11078,wwvptept,b6fbfcb507d5a5002b7660ea787e0d5ef696abee,PMC,"Multidomain Interventions to Prevent Cognitive Impairment, Alzheimer’s Disease, and Dementia: From FINGER to World-Wide FINGERS",10.14283/jpad.2019.41,PMC7222931,32010923,cc-by,"Alzheimer’s disease (AD) and dementia are a global public health priority, and prevention has been highlighted as a pivotal component in managing the dementia epidemic. Modifiable risk factors of dementia and AD include lifestyle-related factors, vascular and metabolic disorders, and psychosocial factors. Randomized controlled clinical trials (RCTs) are needed to clarify whether modifying such factors can prevent or postpone cognitive impairment and dementia in older adults. Given the complex, multifactorial, and heterogeneous nature of late-onset AD and dementia, interventions targeting several risk factors and mechanisms simultaneously may be required for optimal preventive effects. The Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability (FINGER) is the first large, long-term RCT to demonstrate that a multidomain lifestyle-based intervention ameliorating vascular and lifestyle-related risk factors can preserve cognitive functioning and reduce the risk of cognitive decline among older adults at increased risk of dementia. To investigate the multidomain intervention in other populations and diverse cultural and geographical settings, the World-Wide FINGERS (WW-FINGERS) network was recently launched (https://alz.org/wwfingers). Within this network, new FINGER-type trials with shared core methodology, but local culture and context-specific adaptations, will be conducted in several countries. The WW-FINGERS initiative facilitates international collaborations, provides a platform for testing multidomain strategies to prevent cognitive impairment and dementia, and aims at generating high-quality scientific evidence to support public health and clinical decision-making. Furthermore, the WW-FINGERS network can support the implementation of preventive strategies and translation of research findings into practice.",2019-10-10,"Rosenberg, A.; Mangialasche, F.; Ngandu, T.; Solomon, A.; Kivipelto, Miia",J Prev Alzheimers Dis,,,,document_parses/pdf_json/b6fbfcb507d5a5002b7660ea787e0d5ef696abee.json,document_parses/pmc_json/PMC7222931.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7222931/,
304734,8nsjqk9t,,WHO,Biodiversity loss and COVID-19 pandemic: The role of bats in the origin and the spreading of the disease,,,,unk,"The loss of biodiversity in the ecosystems has created the general conditions that have favored and, in fact, made possible, the insurgence of the COVID-19 pandemic. A lot of factors have contributed to it: deforestation, changes in forest habitats, poorly regulated agricultural surfaces, mismanaged urban growth. They have altered the composition of wildlife communities, greatly increased the contacts of humans with wildlife, and altered niches that harbor pathogens, increasing their chances to come in contact with humans. Among the wildlife, bats have adapted easily to anthropized environments such as houses, barns, cultivated fields, orchards, where they found the suitable ecosystem to prosper. Bats are major hosts for &#945;CoV and ßCoV: evolution has shaped their peculiar physiology and their immune system in a way that makes them resistant to viral pathogens that would instead successfully attack other species, including humans. In time, the coronaviruses that bats host as reservoirs have undergone recombination and other modifications that have increased their ability for inter-species transmission: one modification of particular importance has been the development of the ability to use ACE2 as a receptor in host cells. This particular development in CoVs has been responsible for the serious outbreaks in the last two decades, and for the present COVID-19 pandemic.",2020,"Platto, Sara; Zhou, Jinfeng; Wang, Yanqing; Wang, Huo; Carafoli, Ernesto",Biochem. biophys. res. commun,,#866438,,,,,222814672.0
265914,4e0d1d1f,,WHO,Effect of structured exercise protocol and tele-counselling in 72 year old male COVID 19 subject with respiratory impairment-A Case report study,,,,unk,"The case report has been presented to show the effects of structured exercise protocol and tele-counselling on oxygen saturation level and rate of perceived exertion rate in older men with COVID 19 using digital pulse oximeter and Modified Borg's Scale The present case is that of a 72-year-old male He was guided for a structured exercises and tele-counselling for 3 weeks The program included Chest percussion techniques, deep breathing and thorax mobility exercises, incentive spirometry exercise, performed daily twice a week, 30 min each session, for 3 weeks Outcome measures included the oxygen saturation and rate of perceived exertion changes by Pulse oximeter and Modified Borg's scale grading The Pre and Post-test of the patient demonstrated significantly greater improvements in oxygen saturation level and rate of perceived exertion also This case study provides a promising exercise intervention and tele-counselling that may improve chest compliance and improved activities in older men with COVID 19 respiratory issues © 2020 Wolters Kluwer Medknow Publications All rights reserved",2020,"Senthil, P.; Sivabackiya, C.",Annals of Tropical Medicine and Public Health,,#937869,,,,,225175886.0
