cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
dfaxj3bv,5659e6b1f946e16554cab8f5a2711225a2a39985,PMC,Is boosting the immune system in sepsis appropriate?,10.1186/cc13787,PMC4035855,24886820,cc-by,"A relative immunosuppression is observed in patients after sepsis, trauma, burns, or any severe insults. It is currently proposed that selected patients will benefit from treatment aimed at boosting their immune systems. However, the host immune response needs to be considered in context with pathogen-type, timing, and mainly tissue specificity. Indeed, the immune status of leukocytes is not universally decreased and their activated status in tissues contributes to organ failure. Accordingly, any new immune-stimulatory therapeutic intervention should take into consideration potentially deleterious effects in some situations.",2014-03-24,"Cavaillon, Jean-Marc; Eisen, Damon; Annane, Djilalli",Crit Care,nan,nan,nan,document_parses/pdf_json/5659e6b1f946e16554cab8f5a2711225a2a39985.json,document_parses/pmc_json/PMC4035855.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035855/,nan
nhragpzn,nan,Medline,Magnitude of blood pressure reduction and clinical outcomes in acute intracerebral hemorrhage: intensive blood pressure reduction in acute cerebral hemorrhage trial study.,10.1161/hypertensionaha.114.05044,nan,25801872.0,unk,"UNLABELLED Evidence supports early intensive blood pressure (BP) lowering in acute intracerebral hemorrhage, but uncertainty persists over whether potential benefits and harms vary according to the magnitude of BP reduction. We aimed to determine whether larger systolic BP (SBP) reductions were associated with better outcomes in participants of the Intensive Blood Pressure Reduction in Acute Cerebral Hemorrhage Trial (INTERACT2). INTERACT2 was an international, open, blinded end point, randomized controlled trial of patients with spontaneous intracerebral hemorrhage (<6 hours) and elevated SBP (150-220 mm Hg) assigned to intensive (target SBP <140 mm Hg) or guideline-recommended (SBP <180 mm Hg) treatment. Associations of BP reduction (baseline minus average of achieved SBP) during 3 time periods post randomization (15-60 minutes, 1-24 hours, and 2-7 days) on poor outcome (death or major disability) at 90 days were analyzed in multivariable logistic regression models with odds ratios and 95% confidence intervals. Larger SBP reductions within the first hour after randomization were associated with lower risks of poor outcome: compared with minimal reduction (<10 mm Hg), odds ratios were 0.80 (95% confidence interval, 0.63-1.02) for moderate (10-20 mm Hg) and 0.65 (0.52-0.82) for large (≥20 mm Hg) reductions (P trend <0.01). Similar associations were also observed for SBP reductions during 1 to 24 hours (P<0.01) and 2 to 7 days (P 0.02). No heterogeneity in associations for patients above or below baseline SBP 180 mm Hg was reported (P>0.30). Optimal recovery from intracerebral hemorrhage was observed in hypertensive patients who achieved the greatest SBP reductions (≥20 mm Hg) in the first hour and maintained for 7 days. CLINICAL TRIAL REGISTRATION URL: http://www.clinicaltrials.gov. Unique identifier: NCT00716079.",2015,"Wang, Xia; Arima, Hisatomi; Heeley, Emma; Delcourt, Candice; Huang, Yining; Wang, Jiguang; Stapf, Christian; Robinson, Thompson; Woodward, Mark; Chalmers, John; Anderson, Craig S",Hypertension,nan,nan,nan,nan,nan,https://doi.org/10.1161/hypertensionaha.114.05044; https://www.ncbi.nlm.nih.gov/pubmed/25801872/,942924.0
colly125,nan,WHO,Preoperative oral zinc tablet decreases incidence of postoperative sore throat,nan,nan,nan,unk,"Background and Aims: Postoperative sore throat (POST) is very frequently reported after endotracheal intubation. Zinc lozenge has been shown to reduce POST. The aim of this study was to evaluate the effect of dispersible zinc tablet on POST. Methods: Eighty-eight patients undergoing surgery with endotracheal intubation were randomly allocated into two groups, to either receive dispersible zinc tablet 40 mg (zinc group) or placebo tablet (control group), 30 min preoperatively. Assessment for incidence and severity was performed for POST, on a 4-point scale (0-3) at 0, 30 min, 2, 4, and 24 h postoperatively. The primary outcome was incidence of POST at 4 h postoperatively. Secondary outcome was severity of POST at the 5 evaluation time points postoperatively. Mann-Whitney U test, Fisher's exact, and Chi-square test were used as applicable. Results: At 4 h, there was a significantly lower incidence of POST in zinc group (6.8%) than the control group (31.8%) with a P value of 0.003. Three patients in placebo group complained of severe POST compared to none in the zinc group. The severity of POST was significantly lower in Zinc group than Placebo group at 0 min (P = 0.003), 30 min (P = 0.002), 2 h (P < 0.001), and 4 h (P = 0.001). Conclusion: Preoperative administration of 40 mg dispersible zinc tablet effectively reduces the incidence and severity of POST in the immediate postoperative period.",2020,"Sarkar, Tanmay; Mandal, Tanuka",Indian J Anaesth,nan,#32724250,nan,nan,nan,nan,218616930.0
ksq687tk,nan,WHO,Proposed clinical indicators for efficient screening and testing for COVID-19 infection using Classification and Regression Trees (CART) analysis,nan,nan,nan,unk,"The introduction and rapid transmission of SARS-CoV-2 in the United States resulted in methods to assess, mitigate, and contain the resulting COVID-19 disease derived from limited knowledge. Screening for testing has been based on symptoms typically observed in inpatients, yet outpatient symptoms may differ. Classification and regression trees recursive partitioning created a decision tree classifying participants into laboratory-confirmed cases and non-cases. Demographic and symptom data from patients ages 18-87 years enrolled from March 29-June 8, 2020 were included. Presence or absence of SARS-CoV-2 was the target variable. Of 832 tested, 77 (9.3%) tested positive. Cases significantly more often reported diarrhea (12 percentage points (PP)), fever (15 PP), nausea/vomiting (9 PP), loss of taste/smell (52 PP), and contact with a COVID-19 case (54 PP), but less frequently reported sore throat (-27 PP). The 4-terminal node optimal tree had sensitivity of 69%, specificity of 78%, positive predictive value of 20%, negative predictive value of 97%, and AUC of 76%. Among those referred for testing, negative responses to two questions could classify about half (49%) of tested persons with low risk for SARS-CoV-2 and would save limited testing resources. Outpatient symptoms of COVID-19 appear to be broader than the inpatient syndrome. Initial supplies of anticipated COVID-19 vaccines may be limited and administration of first such available vaccines may need to be prioritized for essential workers, the most vulnerable, or those likely to have a robust response to vaccine. Another priority group could be those not previously infected. Those who screen out of testing may be less likely to have been infected by SARS-CoV-2 virus thus may be prioritized for vaccination when supplies are limited.",2020,"Zimmerman, Richard K; Nowalk, Mary Patricia; Bear, Todd; Taber, Rachel; Clarke, Karen S; Sax, Theresa M; Eng, Heather; Clarke, Lloyd G; Balasubramani, G K",Hum Vaccin Immunother,nan,#880766,nan,nan,nan,nan,224825485.0
4jgk8bv0,nan,Medline,"Percutaneous Foramen Ovale Puncture: Usefulness of Intraoperative CT Control, in the Eventuality of a Narrow Foramen.",10.1159/000509821,nan,32937630.0,unk,"BACKGROUND Balloon compression of the gasserian ganglion has been a well-established percutaneous treatment of trigeminal neuralgia since the 1980s. However, puncture of the foramen ovale by conventional single-plane fluoroscopy can be difficult in cases of local anatomic abnormalities. CASE PRESENTATION We present the case of a 49-year-old woman diagnosed with idiopathic trigeminal neuralgia refractory to pharmacological treatment. After failure of puncture by conventional fluoroscopy for percutaneous gasserian ganglion balloon compression due to a narrow foramen ovale, the patient was submitted to puncture guided by computed tomography. CONCLUSION Alternative imaging methods, such as computed tomography, should be considered when puncture of the foramen ovale by conventional single-plane fluoroscopy fails, to minimize the risk of potential complications triggered by frustrated puncture attempts.",2020-09-16,"Mendes, Plinio Duarte; Martins da Cunha, Pedro Henrique; Monteiro, Kalinio de Kassio Oliveira; Quites, Lucas Viana; Fonseca Filho, Gilberto de Almeida",Stereotactic and functional neurosurgery,nan,nan,nan,nan,nan,https://doi.org/10.1159/000509821; https://www.ncbi.nlm.nih.gov/pubmed/32937630/,221770327.0
deaqifw1,nan,Medline,"Epidemiology of Respiratory Pathogens in Children with Lower Respiratory Tract Infections in Shanghai, China, from 2013 to 2015.",10.7883/yoken.jjid.2017.323,nan,29279451.0,unk,"This study aimed to explore the epidemiology of pathogens in children who were hospitalized with lower respiratory tract infections (LRTIs) at the Children's Hospital of Fudan University, Shanghai, China. Children aged less than 18 years who were hospitalized with LRTIs were enrolled from January 2013 to December 2015. Respiratory specimens were collected for the detection of common respiratory viruses, atypical bacteria, and other bacteria using current laboratory diagnostic tests. The epidemiological characteristics of the respiratory pathogens were analyzed. Of the 10,123 specimens obtained from the patients, 5,966 (58.7%) were positive for at least 1 pathogen. Mycoplasma pneumoniae (M.pneumoniae) was the most commonly detected pathogen (15.7%), followed by respiratory syncytial virus (RSV) (13.9%). Co-infections were found in 11.4% of patients. Of these co-infections, viral-bacterial co-infections were the most common. The detection rates for the respiratory pathogens varied considerably by age. RSV was the most common pathogen in children aged less than 24 months. Clear seasonal peaks were observed for RSV, M. pneumoniae, parainfluenza virus, human metapneumovirus, Moraxella catarrhalis, and Haemophilus influenza infections. Our findings demonstrate specific epidemiological patterns in children with LRTIs in Shanghai, China.",2018,"Liu, Pengcheng; Xu, Menghua; He, Leiyan; Su, Liyun; Wang, Aimin; Fu, Pan; Lu, Lijuan; Wang, Chuanqing; Xu, Jin",Japanese journal of infectious diseases,nan,nan,nan,nan,nan,https://doi.org/10.7883/yoken.jjid.2017.323; https://www.ncbi.nlm.nih.gov/pubmed/29279451/,5998544.0
alb4oy5y,nan,WHO,Impact of the COVID-19 Pandemic on Physicians in Residency and FellowshiPrograms: Results of an International Survey,nan,nan,nan,unk,"Background: During the novel coronavirus-2019 (COVID-19) pandemic, physicians in residency and fellowshitraining programs are serving as essential healthca",2020,"Cravero, Anne Kim Nicole J.; Feld, Lauren D.; Berry, Kristin Rabiee Atoosa Bazarbashi Najdat Bassin Sandhya Lee Tzu-Hao Moon Andrew M.; Qi, Xiaolong Liang Peter S.; Aby, Elizabeth S.; Qasim Khan, Mohammad Young Kristen J.; Patel, Arpan Wijarnpreecha Karn Kobeissy Abdallah Hashim Almoutaz Houser Allysia Ioannou George N.",nan,nan,#1937,nan,nan,nan,nan,226435883.0
dv8afzj5,nan,Medline,Animal vaccination and the veterinary pharmaceutical industry.,nan,nan,17892167.0,unk,"The market for veterinary vaccines is spread across species but it is limited in size and the development of vaccines is becoming more complex and expensive. Vaccines are amongst the most effective means of preventing disease in both animals and humans. In many cases, diseases have been eradicated or their impact on animal health and welfare greatly reduced. It is an ethical responsibility to ensure the availability of a wide range of vaccines even where the market needs to be financially supported, as in the case of less common animal species and those with less common conditions (commonly referred to by the acronym MUMS: Minor Use and Minor Species). Mass slaughter is becoming unacceptable to society and we must move to a 'vaccinate to live' policy wherever possible. We need to use vaccines to avoid the high costs of disease and to enhance food safety. In developing vaccines, we need to minimise animal testing. In addition, we need to ensure that the public acceptthe use of vaccines in food-producing animals as a means of protecting the health and welfare of all animals. As we look to the future, vaccines will be vital to ensure our ability to provide more food to a growing global population. The European Technology Platform for Global Animal Health has a key role to play in identifying key research priorities.",2007,"O'Brien, D; Zanker, S",Revue scientifique et technique,nan,nan,nan,nan,nan,https://www.ncbi.nlm.nih.gov/pubmed/17892167/,24028982.0
uye8w6kd,nan,Medline,Carotid Artery Stenting for Acute Ischemic Stroke Patients after Intravenous Recombinant Tissue Plasminogen Activator Treatment.,nan,nan,27725550.0,unk,"We herein report three ischemic stroke patients who underwent emergency carotid artery stenting after receiving intravenous tissue plasminogen activator (t-PA) treatment. All patients received antiplatelet medications immediately before stent placement for loading as well as dual antiplatelet therapy after stenting. Under high-dose and dual antiplatelet therapy, none of the three patients showed symptomatic intracranial hemorrhaging. However, one case showed reocclusion of the placed stent after acute thrombosis. As a result, new treatment strategies for the use of antiplatelet agents during emergency stent placement must be developed, particularly for patients who have received intravenous t-PA therapy.",2016,"Deguchi, Ichiro; Hayashi, Takeshi; Neki, Hiroaki; Yamane, Fumitaka; Ishihara, Shoichiro; Tanahashi, Norio; Takao, Masaki",Internal medicine,nan,nan,nan,nan,nan,https://www.ncbi.nlm.nih.gov/pubmed/27725550/,16105924.0
l7ohbk7c,4b87f5659fc6fe12a680aedc65c104806cfda193; 996d59f701e3e33389c19fe55b82e10b1681c904,Medline; PMC,Preliminary Virtual Screening Studies to Identify GRP78 Inhibitors Which May Interfere with SARS-CoV-2 Infection,10.3390/ph13060132,PMC7345920,32630514.0,cc-by,"SARS-CoV-2 Spike protein was predicted by molecular docking to bind the host cell surface GRP78, which was suggested as a putative good molecular target to inhibit Covid-19. We aimed to confirm that GRP78 gene expression was increased in blood of SARS-CoV-2 (+) versus SARS-CoV-2 (−) pneumonia patients. In addition, we aimed to identify drugs that could be repurposed to inhibit GRP78, thus with potential anti-SARS-CoV-2 activity. Gene expression studies were performed in 10 SARS-CoV-2 (−) and 24 SARS-CoV-2 (+) pneumonia patients. A structure-based virtual screen was performed with 10,761 small molecules retrieved from DrugBank, using the GRP78 nucleotide binding domain and substrate binding domain as molecular targets. Results indicated that GRP78 mRNA levels were approximately four times higher in the blood of SARS-CoV-2 (+) versus SARS-CoV-2 (−) pneumonia patients, further suggesting that GRP78 might be a good molecular target to treat Covid-19. In addition, a total of 409 compounds were identified with potential as GRP78 inhibitors. In conclusion, we found preliminary evidence that further proposes GRP78 as a possible molecular target to treat Covid-19 and that many clinically approved drugs bind GRP78 as an off-target effect. We suggest that further work should be urgently carried out to confirm if GRP78 is indeed a good molecular target and if some of those drugs have potential to be repurposed for SARS-CoV-2 antiviral activity.",2020-06-25,"Palmeira, Andreia; Sousa, Emília; Köseler, Aylin; Sabirli, Ramazan; Gören, Tarık; Türkçüer, İbrahim; Kurt, Özgür; Pinto, Madalena M.; Vasconcelos, M. Helena",Pharmaceuticals (Basel),nan,nan,nan,document_parses/pdf_json/4b87f5659fc6fe12a680aedc65c104806cfda193.json; document_parses/pdf_json/996d59f701e3e33389c19fe55b82e10b1681c904.json,document_parses/pmc_json/PMC7345920.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32630514/; https://doi.org/10.3390/ph13060132,220388206.0
